symbol	sector
AAPL	Information Technology
GOOGL	Information Technology
GOOG	Information Technology
MSFT	Information Technology
AMZN	Consumer Discretionary
FB	Information Technology
XOM	Energy
JNJ	Health Care
JPM	Financials
WFC	Financials
BAC	Financials
GE	Industrials
T	Telecommunications Services
PG	Consumer Staples
WMT	Consumer Staples
CVX	Energy
V	Information Technology
PFE	Health Care
VZ	Telecommunications Services
MRK	Health Care
KO	Consumer Staples
CMCSA	Consumer Discretionary
HD	Consumer Discretionary
DIS	Consumer Discretionary
ORCL	Information Technology
PM	Consumer Staples
CSCO	Information Technology
IBM	Information Technology
INTC	Information Technology
C	Financials
UNH	Health Care
PEP	Consumer Staples
MO	Consumer Staples
AMGN	Health Care
MA	Information Technology
MMM	Industrials
MDT	Health Care
BA	Industrials
SLB	Energy
KHC	Consumer Staples
MCD	Consumer Discretionary
GS	Financials
ABBV	Health Care
HON	Industrials
CELG	Health Care
BMY	Health Care
NKE	Consumer Discretionary
USB	Financials
WBA	Consumer Staples
UPS	Industrials
UTX	Industrials
GILD	Health Care
UNP	Industrials
AVGO	Information Technology
RAI	Consumer Staples
LLY	Health Care
CHTR	Consumer Discretionary
MS	Financials
CVS	Consumer Staples
PCLN	Consumer Discretionary
QCOM	Information Technology
SBUX	Consumer Discretionary
AGN	Health Care
TXN	Information Technology
ABT	Health Care
ACN	Information Technology
DOW	Materials
TWX	Consumer Discretionary
COST	Consumer Staples
AXP	Financials
LOW	Consumer Discretionary
DD	Materials
MDLZ	Consumer Staples
CL	Consumer Staples
CB	Financials
BLK	Financials
BIIB	Health Care
AIG	Financials
PNC	Financials
TMO	Health Care
NEE	Utilities
NFLX	Information Technology
DHR	Health Care
ADBE	Information Technology
COP	Energy
CRM	Information Technology
NVDA	Information Technology
MET	Financials
GD	Industrials
EOG	Energy
DUK	Utilities
FOXA	Consumer Discretionary
CAT	Industrials
GM	Consumer Discretionary
FOX	Consumer Discretionary
SCHW	Financials
SPG	Real Estate
PYPL	Information Technology
TJX	Consumer Discretionary
FDX	Industrials
